date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:12:47	182435/182435	---M--	200	added ('OK')	image/jpeg	etag:%222c8a3-5c292b376c950%22	https://themesbrand.com/skote-mvc/layouts/assets/images/small/img-3.jpg	C:/My%20Web%20Sites/Skote%20asp/themesbrand.com/skote-mvc/layouts/assets/images/small/img-3.jpg	(from https://themesbrand.com/skote-mvc/layouts/email-read.html)
12:12:47	203278/203278	---M--	200	added ('OK')	image/jpeg	etag:%2231a0e-5c292b376c950%22	https://themesbrand.com/skote-mvc/layouts/assets/images/small/img-4.jpg	C:/My%20Web%20Sites/Skote%20asp/themesbrand.com/skote-mvc/layouts/assets/images/small/img-4.jpg	(from https://themesbrand.com/skote-mvc/layouts/email-read.html)
12:12:48	11962/11962	---M--	200	added ('OK')	image/jpeg	etag:%222eba-5c292b376d8f1%22	https://themesbrand.com/skote-mvc/layouts/assets/images/users/avatar-7.jpg	C:/My%20Web%20Sites/Skote%20asp/themesbrand.com/skote-mvc/layouts/assets/images/users/avatar-7.jpg	(from https://themesbrand.com/skote-mvc/layouts/invoices-list.html)
12:12:48	8984/8984	---M--	200	added ('OK')	image/png	etag:%222318-5c292b3750426%22	https://themesbrand.com/skote-mvc/layouts/assets/images/companies/img-4.png	C:/My%20Web%20Sites/Skote%20asp/themesbrand.com/skote-mvc/layouts/assets/images/companies/img-4.png	(from https://themesbrand.com/skote-mvc/layouts/projects-grid.html)
12:12:49	8041/8041	---M--	200	added ('OK')	image/png	etag:%221f69-5c292b3750426%22	https://themesbrand.com/skote-mvc/layouts/assets/images/companies/img-5.png	C:/My%20Web%20Sites/Skote%20asp/themesbrand.com/skote-mvc/layouts/assets/images/companies/img-5.png	(from https://themesbrand.com/skote-mvc/layouts/projects-grid.html)
12:12:49	7408/7408	---M--	200	added ('OK')	image/png	etag:%221cf0-5c292b3750426%22	https://themesbrand.com/skote-mvc/layouts/assets/images/companies/img-6.png	C:/My%20Web%20Sites/Skote%20asp/themesbrand.com/skote-mvc/layouts/assets/images/companies/img-6.png	(from https://themesbrand.com/skote-mvc/layouts/projects-grid.html)
12:12:49	479/479	---M-Z	200	added ('OK')	application/javascript	etag:%221df-5c292b37707d2-gzip%22	https://themesbrand.com/skote-mvc/layouts/assets/js/pages/project-overview.init.js	C:/My%20Web%20Sites/Skote%20asp/themesbrand.com/skote-mvc/layouts/assets/js/pages/project-overview.init.js	(from https://themesbrand.com/skote-mvc/layouts/projects-overview.html)
12:12:50	665/665	---M-Z	200	added ('OK')	application/javascript	etag:%22299-5c292b37707d2-gzip%22	https://themesbrand.com/skote-mvc/layouts/assets/js/pages/tasklist.init.js	C:/My%20Web%20Sites/Skote%20asp/themesbrand.com/skote-mvc/layouts/assets/js/pages/tasklist.init.js	(from https://themesbrand.com/skote-mvc/layouts/tasks-list.html)
12:12:50	466/466	---M-Z	200	added ('OK')	text/css	etag:%221d2-5c292b3785f99-gzip%22	https://themesbrand.com/skote-mvc/layouts/assets/libs/dragula/dragula.min.css	C:/My%20Web%20Sites/Skote%20asp/themesbrand.com/skote-mvc/layouts/assets/libs/dragula/dragula.min.css	(from https://themesbrand.com/skote-mvc/layouts/tasks-kanban.html)
12:12:51	11396/11396	---M-Z	200	added ('OK')	application/javascript	etag:%222c84-5c292b3785f99-gzip%22	https://themesbrand.com/skote-mvc/layouts/assets/libs/dragula/dragula.min.js	C:/My%20Web%20Sites/Skote%20asp/themesbrand.com/skote-mvc/layouts/assets/libs/dragula/dragula.min.js	(from https://themesbrand.com/skote-mvc/layouts/tasks-kanban.html)
